"Date","Value"
2014-05-21,19571.51
2014-05-22,19630.05
2014-05-23,19723.65
2014-05-26,NA
2014-05-27,19855.22
2014-05-28,19827.18
2014-05-29,19929.81
2014-05-30,19951.29
2014-06-02,19964.05
2014-06-03,19953.67
2014-06-04,19998.79
2014-06-05,20151.82
2014-06-06,20252.56
2014-06-09,20284.6
2014-06-10,20272.97
2014-06-11,20199.66
2014-06-12,20056.82
2014-06-13,20118.88
2014-06-16,20132.67
2014-06-17,20194.34
2014-06-18,20342.22
2014-06-19,20367.91
2014-06-20,20409.01
2014-06-23,20404.66
2014-06-24,20263.43
2014-06-25,20369.14
2014-06-26,20345.57
2014-06-27,20400.27
2014-06-30,20406.71
2014-07-01,20547.29
2014-07-02,20540.1
2014-07-03,20650.34
2014-07-04,NA
2014-07-07,20541.11
2014-07-08,20383.8
2014-07-09,20472.63
2014-07-10,20382.87
2014-07-11,20404.99
2014-07-14,20502.83
2014-07-15,20452.19
2014-07-16,20525.96
2014-07-17,20282.39
2014-07-18,20498.63
2014-07-21,20447.31
2014-07-22,20554.34
2014-07-23,20590.4
2014-07-24,20597.7
2014-07-25,20493.09
2014-07-28,20486.48
2014-07-29,20403.29
2014-07-30,20413.32
2014-07-31,20004.98
2014-08-01,19946.82
2014-08-04,20090.53
2014-08-05,19912.77
2014-08-06,19913.7
2014-08-07,19808.67
2014-08-08,20028.85
2014-08-11,20098.7
2014-08-12,20053.38
2014-08-13,20191.24
2014-08-14,20273.16
2014-08-15,20268.33
2014-08-18,20452.67
2014-08-19,20548.67
2014-08-20,20591.16
2014-08-21,20648.27
2014-08-22,20613.04
2014-08-25,20710.1
2014-08-26,20743.6
2014-08-27,20740.51
2014-08-28,20700.23
2014-08-29,20777.34
2014-09-01,NA
2014-09-02,20781.01
2014-09-03,20751.64
2014-09-04,20714.3
2014-09-05,20814.56
2014-09-08,20761.61
2014-09-09,20615.38
2014-09-10,20686.15
2014-09-11,20716.58
2014-09-12,20582.66
2014-09-15,20538.28
2014-09-16,20685.53
2014-09-17,20714.14
2014-09-18,20805.49
2014-09-19,20773.23
2014-09-22,20579.72
2014-09-23,20454.78
2014-09-24,20609.01
2014-09-25,20282.49
2014-09-26,20453.15
2014-09-29,20404.54
2014-09-30,20324.66
2014-10-01,20051.01
2014-10-02,20068.12
2014-10-03,20282.7
2014-10-06,20240.08
2014-10-07,19932.32
2014-10-08,20266.81
2014-10-09,19841.32
2014-10-10,19601.5
2014-10-13,19299.14
2014-10-14,19355.09
2014-10-15,19235.58
2014-10-16,19273.92
2014-10-17,19496.45
2014-10-20,19678.55
2014-10-21,20064
2014-10-22,19903.7
2014-10-23,20155.67
2014-10-24,20287.04
2014-10-27,20256.92
2014-10-28,20522.97
2014-10-29,20489.91
2014-10-30,20612.88
2014-10-31,20862.17
2014-11-03,20863.44
2014-11-04,20797.16
2014-11-05,20898.78
2014-11-06,20984.27
2014-11-07,20995.19
2014-11-10,21062.29
2014-11-11,21074.18
2014-11-12,21072.48
2014-11-13,21066.22
2014-11-14,21070.73
2014-11-17,21067.45
2014-11-18,21175.45
2014-11-19,21129.43
2014-11-20,21191.31
2014-11-21,21293.36
2014-11-24,21371.67
2014-11-25,21351.05
2014-11-26,21411.49
2014-11-27,NA
2014-11-28,21335.3
2014-12-01,21160.81
2014-12-02,21295.93
2014-12-03,21389.63
2014-12-04,21358.84
2014-12-05,21404.68
2014-12-08,21236.05
2014-12-09,21257.55
2014-12-10,20900.39
2014-12-11,20995.89
2014-12-12,20667.4
2014-12-15,20525.01
2014-12-16,20363.74
2014-12-17,20795.61
2014-12-18,21270.94
2014-12-19,21364.09
2014-12-22,21450.19
2014-12-23,21492.63
2014-12-24,21498.49
2014-12-25,NA
2014-12-26,21577.35
2014-12-29,21603.44
2014-12-30,21501.97
2014-12-31,21289.13
2015-01-01,NA
2015-01-02,21279.35
2015-01-05,20901.76
2015-01-06,20704.25
2015-01-07,20945.1
2015-01-08,21313.55
2015-01-09,21134.66
2015-01-12,20977.41
2015-01-13,20936.04
2015-01-14,20820.05
2015-01-15,20614.11
2015-01-16,20892.92
2015-01-19,NA
2015-01-20,20911.81
2015-01-21,21000.06
2015-01-22,21333.81
2015-01-23,21226.82
2015-01-26,21313.51
2015-01-27,21052.16
2015-01-28,20764.77
2015-01-29,20961.26
2015-01-30,20678.93
2015-02-02,20931.15
2015-02-03,21238.77
2015-02-04,21156.15
2015-02-05,21384.14
2015-02-06,21311.64
2015-02-09,21214.97
2015-02-10,21428.38
2015-02-11,21425.31
2015-02-12,21636.8
2015-02-13,21727.82
2015-02-16,NA
2015-02-17,21755.2
2015-02-18,21763.62
2015-02-19,21740.46
2015-02-20,21874.39
2015-02-23,21865.61
2015-02-24,21916.34
2015-02-25,21910
2015-02-26,21875.95
2015-02-27,21807.89
2015-03-02,21942.97
2015-03-03,21847.7
2015-03-04,21749.22
2015-03-05,21778.2
2015-03-06,21475.48
2015-03-09,21558.66
2015-03-10,21212.21
2015-03-11,21197.41
2015-03-12,21464.97
2015-03-13,21344.19
2015-03-16,21607.22
2015-03-17,21557.72
2015-03-18,21807.22
2015-03-19,21719.48
2015-03-20,21914.84
2015-03-23,21873.9
2015-03-24,21751.11
2015-03-25,21422.33
2015-03-26,21369.37
2015-03-27,21430.95
2015-03-30,21698.05
2015-03-31,21526.87
2015-04-01,21450.53
2015-04-02,21527.79
2015-04-03,NA
2015-04-06,21665.02
2015-04-07,21603.62
2015-04-08,21666.06
2015-04-09,21738.07
2015-04-10,21844.93
2015-04-13,21756.1
2015-04-14,21786.73
2015-04-15,21899.68
2015-04-16,21884.67
2015-04-17,21630.59
2015-04-20,21827.82
2015-04-21,21799.78
2015-04-22,21901.85
2015-04-23,21959.05
2015-04-24,21996.27
2015-04-27,21890.39
2015-04-28,21952.88
2015-04-29,21861.98
2015-04-30,21622.29
2015-05-01,21838.1
2015-05-04,21905.39
2015-05-05,21637.16
2015-05-06,21560.79
2015-05-07,21644.93
2015-05-08,21916.79
2015-05-11,21817.97
2015-05-12,21760.48
2015-05-13,21752.63
2015-05-14,21980.3
2015-05-15,21997.35
2015-05-18,22079.72
2015-05-19,22059.59
2015-05-20,22043.54
2015-05-21,22088.43
2015-05-22,22038.82
2015-05-25,NA
2015-05-26,21816.47
2015-05-27,22016.82
2015-05-28,21988.03
2015-05-29,21854.12
2015-06-01,21898.05
2015-06-02,21881.98
2015-06-03,21942.27
2015-06-04,21754.05
2015-06-05,21745.79
2015-06-08,21604.69
2015-06-09,21602.29
2015-06-10,21854.73
2015-06-11,21899.41
2015-06-12,21759.86
2015-06-15,21656.37
2015-06-16,21780.3
2015-06-17,21818.77
2015-06-18,22033.11
2015-06-19,21928.12
2015-06-22,22056.02
2015-06-23,22076.99
2015-06-24,21906.85
2015-06-25,21837.67
2015-06-26,21829.85
2015-06-29,21371.62
2015-06-30,21433.95
2015-07-01,21570.72
2015-07-02,21552.3
2015-07-03,NA
2015-07-06,21476.43
2015-07-07,21597.36
2015-07-08,21241.81
2015-07-09,21292.59
2015-07-10,21553.08
2015-07-13,21788.37
2015-07-14,21887.9
2015-07-15,21854.73
2015-07-16,22023.16
2015-07-17,22029.77
2015-07-20,22032.91
2015-07-21,21931.48
2015-07-22,21888.18
2015-07-23,21756.43
2015-07-24,21528.84
2015-07-27,21391.11
2015-07-28,21645.87
2015-07-29,21808.95
2015-07-30,21819.64
2015-07-31,21787.08
2015-08-03,21722.36
2015-08-04,21682.29
2015-08-05,21750.09
2015-08-06,21576.39
2015-08-07,21508.38
2015-08-10,21781.79
2015-08-11,21577.15
2015-08-12,21587.62
2015-08-13,21561.11
2015-08-14,21652.73
2015-08-17,21776.9
2015-08-18,21710.82
2015-08-19,21525.71
2015-08-20,21062.52
2015-08-21,20435.47
2015-08-24,19628.94
2015-08-25,19378.57
2015-08-26,20087.65
2015-08-27,20570.73
2015-08-28,20606.57
2015-08-31,20445.4
2015-09-01,19853.31
2015-09-02,20206.88
2015-09-03,20237.22
2015-09-04,19945.51
2015-09-07,NA
2015-09-08,20434.14
2015-09-09,20158.66
2015-09-10,20257.51
2015-09-11,20349.8
2015-09-14,20268.86
2015-09-15,20518.93
2015-09-16,20698.98
2015-09-17,20659.98
2015-09-18,20331.32
2015-09-21,20416.36
2015-09-22,20155.98
2015-09-23,20112.9
2015-09-24,20043.4
2015-09-25,20019.15
2015-09-28,19497.53
2015-09-29,19500.7
2015-09-30,19855.23
2015-10-01,19885.05
2015-10-02,20167.81
